"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YER070W",4910.96474026409,1.12551335338574,0.224029004238785,5.02396266595059,5.06160807086113e-07,4.05249000610084e-05
"YER124C",13272.4409210856,1.50401632359636,0.332087321487229,4.5289784531994,5.92695420525565e-06,0.000369131898045349
"YER150W",14368.5153266733,-0.89436661901474,0.1944014369081,-4.60061732690554,4.21240672450625e-06,0.000271872168699001
"YFL058W",701.238708112523,-1.03513791875675,0.219080379425665,-4.72492297790626,2.30202590459712e-06,0.000163599031984009
"YFL054C",5146.7253261052,-1.74244671841287,0.208739542483894,-8.3474683219032,6.97417277237164e-17,2.75697767407816e-14
"YFL053W",1390.25306240074,-3.16700042120155,0.30681684316244,-10.3221204825604,5.59731034832829e-25,5.05756970759664e-22
"YFL052W",635.428327950098,-0.883571381502921,0.212508860578582,-4.15780960425504,3.2131364390742e-05,0.00160024314780664
"YFL051C",328.078991935383,-0.925773166792239,0.241888883137624,-3.82726628352538,0.00012957431742254,0.00528746811417785
"YFL011W",4507.43832426906,-1.50346846246854,0.253217600188699,-5.93745640645891,2.89477981593206e-09,3.89563453952559e-07
"YGL263W",342.687946683541,1.59663829852915,0.308358866290242,5.17785759734347,2.24448443774902e-07,1.94470740667981e-05
"YGL262W",664.380394773034,1.07609363874869,0.202682963737758,5.3092456262925,1.10079899796244e-07,1.05493237304734e-05
"YNCG0047C",224.772324482812,1.00815739086313,0.274509418369607,3.67257851060584,0.000240115346388333,0.00843738647725669
"YGL230C",722.454016370288,0.963217585842446,0.259716191676796,3.70873136412351,0.000208300276830553,0.00756794165540369
"YGL063W",1027.85255928167,-1.4635278984399,0.224289335109519,-6.52517828244163,6.79206959776634e-11,1.16107676232087e-08
"YGL055W",109187.376813093,-1.46549925102343,0.202254730784972,-7.24580950633722,4.29863932879336e-13,1.23585880702809e-10
"YGL039W",1228.7856246121,-0.777743127738468,0.189095464575741,-4.1129655303126,3.90608727419829e-05,0.00188595435185528
"YGL028C",5216.80330185734,0.892021001679824,0.241260239256717,3.6973394556351,0.000217870919554845,0.00782973617150226
"YGR014W",6584.89485094628,0.760760562830968,0.181749870700391,4.18575573066051,2.8421887258637e-05,0.00143814749528703
"YGR023W",2013.0478294622,-0.941476263813518,0.213704904545253,-4.40549675645911,1.05541731476518e-05,0.000601397704134211
"YGR088W",14758.8149272341,2.1937300558064,0.246332325547965,8.90557116661994,5.31118682574603e-19,2.58409666714182e-16
"YGR109C",233.227686552702,1.06621800642219,0.270284264288321,3.94480237031046,7.98658191848182e-05,0.00343640344451684
"YGR146C",6887.91022483462,-0.832599332206769,0.208980859230191,-3.98409373601851,6.77381330466074e-05,0.00297530341333189
"YGR161C",17585.9130804334,-2.38911249079583,0.233066974752402,-10.2507551459571,1.17422538994988e-24,9.28371948929123e-22
"YGR161W-C",4259.38126698429,-1.01415684464678,0.178556016022858,-5.67976855239062,1.34877126187388e-08,1.52338896988434e-06
"YGR279C",3920.44737003728,1.06408873284814,0.235719853345365,4.51420920956152,6.35534567413591e-06,0.000386515013354901
"YGR289C",37840.4398239415,-2.27992546244867,0.27975648913069,-8.14967856342945,3.64892866571222e-16,1.35761610650763e-13
"YGR292W",10649.8434580427,-2.86143208197536,0.329370126624744,-8.68758837147193,3.70214410261094e-18,1.67257581778673e-15
"YHR044C",512.151283049617,-1.51284807977618,0.247325010864929,-6.11684226550942,9.54477570281716e-10,1.40396991442601e-07
"YHR137W",14179.3668608113,0.859655254496645,0.182308570472323,4.71538585525332,2.41253113175854e-06,0.000167684169322777
"YHR139C",401.560982890706,1.66679610903229,0.323525164057947,5.1519828879022,2.57746559462078e-07,2.2030364710779e-05
"YHR143W",19589.6464803884,1.52686827643778,0.213928877572484,7.13727054413421,9.52023544520349e-13,2.33071233324932e-10
