"","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318268_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318269_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318270_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318271_Aligned.sortedByCoord.out.bam"
"YJL214W",4.93387796051049,5.44231433819301,3.6956819311583,4.29726440799884
"YJL213W",17.3438745261568,26.6308446776667,12.0207933672429,16.9797094968755
"YJL212C",13.158156376529,16.6829083419318,12.8367202077577,8.57304249395768
"YJL210W",122.021972543536,135.915162114448,116.532443062506,93.9683137810488
"YJL209W",11.9213466453411,14.0613248496469,13.9698892846218,13.5384509347787
"YJL208C",24.7332871555199,31.0430530326527,24.6361296916561,38.1024110842564
"YJL207C",8.30784970582818,8.91883379223058,8.91064563635783,7.8045257357053
"YJL206C",19.7994636684561,20.1821032678095,17.5089550484178,11.3092124323929
"YJL205C",504.941523304944,528.746697933141,454.252883895128,390.622026678142
"YJL204C",9.27541787984689,9.96972551661899,8.21888241601606,7.58947147319735
"YJL203W",38.5512246098338,39.337382541586,38.9177871067386,35.372809299944
"YJL201W",34.394504279743,32.317081304611,38.1535850619464,29.3932885507121
"YJL200C",24.2032515552402,30.6833100397623,30.3523228541105,42.6259302868059
"YNCJ0001C",0,0.329416923942871,0,0.291773759685448
"YJL199C",55.7820787919127,52.5807839302695,50.1269243586867,69.2396084948963
"YJL198W",15.818110620175,17.5493567081477,13.5371831367059,12.5897179481508
"YJL197W",17.6328841114026,19.1932386509237,16.3261994674209,12.2761968849328
"YJL196C",59.9653755106395,57.8633360990111,46.5938335515319,61.1817988690901
"YJL194W",11.2790747498443,11.6806285022207,10.6780559445455,8.49493057138664
"YJL193W",14.2687611090245,15.5144744824707,14.3542252116397,17.8817011777447
"YJL192C",73.8427880235061,78.7255049838165,70.2763160310137,93.2645510906035
"YJL191W",352.768010747532,394.850816573835,342.940048715828,344.622593840848
"YJL190C",517.990907054609,581.605277179695,626.19526204314,1511.07105889738
"YJL189W",3727.79181110482,3624.38014262416,3596.87685308594,8302.70288354143
